datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,32,0,1,-17.2,-46.319,27
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,AGUA BOA,Mata Atlantica,32,0,1,-17.89,-42.303,4.2
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,SABINOPOLIS,Mata Atlantica,32,0,0.8,-18.611,-43.088,6
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,ITABIRA,Mata Atlantica,33,0,0.8,-19.604,-43.165,5
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,CLAUDIO,Mata Atlantica,33,0,1,-20.387,-44.677,17.4
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,FORMIGA,Mata Atlantica,33,0,0.9,-20.43,-45.324,14.6
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,FORMIGA,Mata Atlantica,33,0,0.9,-20.431,-45.336,7.6
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,PORTO FIRME,Mata Atlantica,33,0,0.9,-20.65,-43.08,3.5
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,PORTO FIRME,Mata Atlantica,33,0,0.8,-20.651,-43.09,5.2
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,PORTO FIRME,Mata Atlantica,26,0,0.9,-20.694,-43.008,6.8
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,ITUTINGA,Mata Atlantica,17,0,1,-21.381,-44.642,12.8
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,BURITIS,Cerrado,32,0,0.9,-15.689,-46.596,18.2
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,CAMPO BELO,Mata Atlantica,20,0,1,-20.858,-45.179,6.2
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO JOAO DEL REI,Mata Atlantica,19,0,1,-21.11,-44.378,4.4
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO JOAO DEL REI,Mata Atlantica,18,0,1,-21.111,-44.389,6.2
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,BARBACENA,Mata Atlantica,16,0,1,-21.206,-43.795,7.4
2020/06/27 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,ITUTINGA,Mata Atlantica,18,0,0.9,-21.379,-44.631,8.5
2020/06/29 16:25:00,AQUA_M-T,Brasil,MINAS GERAIS,TIROS,Cerrado,29,0,1,-18.783,-45.78,18.9
2020/06/29 16:25:00,AQUA_M-T,Brasil,MINAS GERAIS,BONITO DE MINAS,Cerrado,35,0,1,-14.614,-44.875,6.9
2020/06/29 16:25:00,AQUA_M-T,Brasil,MINAS GERAIS,BONITO DE MINAS,Cerrado,35,0,0.9,-14.612,-44.861,8.8
2020/06/30 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,36,0.2,1,-19.812,-47.253,9.1
2020/06/30 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,32,0.9,0.6,-19.936,-47.259,15
2020/06/30 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,COMENDADOR GOMES,Cerrado,18,2.7,1,-19.623,-48.865,17.8
